example_idx,entity,pred_type,length,context
373,young woman,PER,2,face of a young woman was raised feebly
373,child,PER,1,"me see the child , and die"
374,surgeon,PER,1,' The surgeon had been sitting
375,young woman,PER,2,"As the young woman spoke , he"
376,nurse,PER,1,"' interposed the nurse , hastily depositing"
377,all,PER,1,"own , and all on 'em dead"
377,two,PER,1,"'em dead except two , and them"
378,mother,PER,1,"to be a mother , there 's"
379,mother,PER,1,perspective of a mother 's prospects failed
380,patient,PER,1,The patient shook her head
380,child,PER,1,hand towards the child .
381,surgeon,PER,1,The surgeon deposited it in
385,poor dear,PER,2,"' Ah , poor dear , so it"
385,the nurse,PER,2,"! ' said the nurse , picking up"
385,child,PER,1,take up the child .
386,Poor dear,PER,2,' Poor dear ! ' '
386,child,PER,1,", if the child cries , nurse"
386,surgeon,PER,1,"' said the surgeon , putting on"
388,good-looking girl,PER,2,"She was a good-looking girl , too ;"
389,the,PER,1,", ' replied the old woman ,"
389,old woman,PER,2,"' replied the old woman , ' by"
389,overseer,PER,1,' by the overseer 's order .
390,street,LOC,1,lying in the street . She had
391,surgeon,PER,1,' The surgeon leaned over the
393,medical gentleman,PER,2,! ' The medical gentleman walked away to
393,nurse,PER,1,"; and the nurse , having once"
393,infant,PER,1,to dress the infant .
395,child of a nobleman or a beggar,PER,7,have been the child of a nobleman or a beggar ; it would
395,society,ORG,1,proper station in society .
396,"parish child -- the orphan of a workhouse -- the humble , half-starved drudge",PER,14,"once -- a parish child -- the orphan of a workhouse -- the humble , half-starved drudge -- to be"
397,orphan,PER,1,"he was an orphan , left to"
397,church-wardens and,PER,2,"tender mercies of church-wardens and overseers , perhaps"
399,infant orphan,PER,2,situation of the infant orphan was duly reported
399,workhouse authorities,PER,2,reported by the workhouse authorities to the parish
400,parish authorities,PER,2,The parish authorities inquired with dignity
400,workhouse authorities,PER,2,"dignity of the workhouse authorities , whether there"
400,no,PER,1,whether there was no female then domiciled
400,female,PER,1,there was no female then domiciled in
401,workhouse authorities,PER,2,The workhouse authorities replied with humility
402,parish authorities,PER,2,"this , the parish authorities magnanimously and humanely"
402,branch-workhouse,FAC,1,dispatched to a branch-workhouse some three miles
402,elderly female,PER,2,"superintendence of an elderly female , who received"
402,culprits,PER,1,who received the culprits at and for
403,child,PER,1,diet for a child ; a great
404,elderly female,PER,2,The elderly female was a woman
404,woman of wisdom and experience,PER,5,female was a woman of wisdom and experience ; she knew
405,the,PER,1,", and consigned the rising parochial generation"
405,rising parochial generation,PER,3,and consigned the rising parochial generation to even a
406,very great experimental philosopher,PER,4,proving herself a very great experimental philosopher .
407,own horse,VEH,2,had got his own horse down to a
408,Oliver Twist,PER,2,whose protecting care Oliver Twist was delivered over
408,child,PER,1,moment when the child had contrived to
408,miserable little being,PER,3,"cases , the miserable little being was usually summoned"
408,fathers,PER,1,gathered to the fathers it had never
409,parish child,PER,2,inquest upon a parish child who had been
409,jury,PER,1,farm -- the jury would take it
409,parishioners,PER,1,", or the parishioners would rebelliously affix"
410,surgeon,PER,1,"evidence of the surgeon , and the"
410,former of,PER,2,beadle ; the former of whom had always
410,latter of,PER,2,", and the latter of whom invariably swore"
410,parish,ORG,1,swore whatever the parish wanted ; which
411,board,ORG,1,"Besides , the board made periodical pilgrimages"
412,children,PER,1,The children were neat and
412,people,PER,1,more would the people have !
413,My Early Home,FAC,3,Part I 01 My Early Home The first place
413,large pleasant meadow,LOC,3,remember was a large pleasant meadow with a pond
413,pond of clear water,LOC,4,meadow with a pond of clear water in it .
415,plowed field,LOC,2,"looked into a plowed field , and on"
415,our master ’s house,FAC,4,"a gate at our master ’s house , which stood"
415,roadside,FAC,1,stood by the roadside ; at the
415,meadow,LOC,1,top of the meadow was a grove
415,grove of fir trees,LOC,4,"meadow was a grove of fir trees , and at"
415,running brook overhung by a,LOC,5,the bottom a running brook overhung by a steep bank .
415,steep bank,LOC,2,overhung by a steep bank .
418,pond,LOC,1,stand by the pond in the shade
418,nice warm shed,FAC,3,we had a nice warm shed near the grove
418,the,LOC,1,warm shed near the grove .
418,grove,LOC,1,shed near the grove .
420,meadow,LOC,1,colts in the meadow besides me ;
421,the,LOC,1,round and round the field as hard
421,field,LOC,1,and round the field as hard as
429,"good , kind man",PER,4,"master was a good , kind man . He gave"
430,all,PER,1,We were all fond of him
433,dull black,PER,2,"I was a dull black , so he"
436,"plowboy , Dick",PER,3,"There was a plowboy , Dick , who sometimes"
436,our field,LOC,2,sometimes came into our field to pluck blackberries
439,master,PER,1,know that the master was in the
439,next field,FAC,2,was in the next field ; but he
440,master,PER,1,we saw the master we trotted up
444,"Old Daniel , the man who looked after the horses",PER,10,"any more . Old Daniel , the man who looked after the horses , was just"
448,The oldest of the colts,PER,5,The oldest of the colts raised his head
449,rest of us,PER,3,followed by the rest of us to the upper
449,the field,LOC,2,"upper part of the field , where we"
452,field of young wheat,LOC,4,tearing down the field of young wheat next to ours
455,a,PER,1,After them came a number of men
455,number of men on horseback,PER,5,"them came a number of men on horseback , some of"
455,some of them in green coats,PER,6,"on horseback , some of them in green coats , all galloping"
456,young colts,PER,2,", and we young colts wanted to be"
456,the,LOC,1,soon away into the fields lower down
456,fields lower down,LOC,3,away into the fields lower down ; here it
457,old horse,VEH,2,” said the old horse ; “ perhaps
460,high bank and,LOC,3,part where the high bank and hedge overhang the
460,hedge,LOC,1,high bank and hedge overhang the brook
460,the,LOC,1,and hedge overhang the brook .
460,brook,LOC,1,hedge overhang the brook .
461,woods,LOC,1,made for the woods .
462,the,LOC,1,"they burst over the bank , leaped"
462,bank,LOC,1,"burst over the bank , leaped the"
462,stream,LOC,1,", leaped the stream , and came"
462,the,LOC,1,came dashing across the field followed by
462,field,LOC,1,dashing across the field followed by the
462,huntsmen,PER,1,followed by the huntsmen .
464,road,FAC,1,"make for the road , but it"
465,One of the huntsmen,PER,4,One of the huntsmen rode up and
467,brook,LOC,1,on by the brook ; but when
467,stream,LOC,1,"struggling in the stream , and the"
468,One of the riders,PER,4,One of the riders was getting out
468,other,PER,1,"mud , the other lay quite still"
470,one of the colts,PER,4,", ” said one of the colts ."
472,fields,LOC,1,"tear up the fields , and all"
474,Many of the riders,PER,4,Many of the riders had gone to
474,young man,PER,2,gone to the young man ; but my
474,my master,PER,2,"man ; but my master , who had"
477,our master ’s house,FAC,4,carried him to our master ’s house . I heard
477,"young George Gordon , the squire ’s only son , a fine , tall young man",PER,16,"that it was young George Gordon , the squire ’s only son , a fine , tall young man , and the"
478,the,FAC,1,"all directions to the doctor ’s ,"
478,doctor,PER,1,"directions to the doctor ’s , to"
478,farrier,PER,1,", to the farrier ’s , and"
479,"Mr. Bond , the farrier",PER,5,"When Mr. Bond , the farrier , came to"
479,black horse,VEH,2,look at the black horse that lay groaning
480,some one,PER,2,Then some one ran to our
480,our,FAC,1,one ran to our master ’s house
481,Rob Roy,PER,2,name was “ Rob Roy ” ; he
484,the,VEH,1,"rapidly , while the boats were being"
484,boats,VEH,1,", while the boats were being launched"
485,women and,PER,2,The women and children were being
486,Some,PER,1,Some still clung desperately
486,others,PER,1,and fathers ; others clutched their children
487,rest,PER,1,apart from the rest .
489,man,PER,1,. ” A man ’s voice beside
490,speaker,PER,1,had noticed the speaker more than once
490,first-class passengers,PER,2,once amongst the first-class passengers .
495,the,PER,1,strike her as the kind of man
495,kind of man who would be afraid to,PER,8,her as the kind of man who would be afraid to meet death !
499,American,PER,1,You are an American ?
500,The,PER,1,one ? ” The girl flushed .
500,girl,PER,1,? ” The girl flushed .
504,some one,PER,2,got to trust some one -- and it
504,woman,PER,1,must be a woman .
510,The,PER,1,” The girl held out
510,girl,PER,1,” The girl held out her
512,one,PER,1,"have , but one never knows ."
514,The,PER,1,” The girl smiled .
514,girl,PER,1,” The girl smiled . “
516,newspapers,ORG,1,“ Watch the newspapers ! I ’ll
516,the _ Times,ORG,3,"personal column of the _ Times _ , beginning"
518,the,FAC,1,"the packet to the American Embassy ,"
518,American Embassy,FAC,2,"packet to the American Embassy , and deliver"
524,girl,PER,1,"command , the girl went forward to"
524,the,VEH,1,her place in the boat .
524,boat,VEH,1,place in the boat .
525,THE,ORG,1,"CHAPTER I . THE YOUNG ADVENTURERS ,"
526,two young people,PER,3,! ” The two young people greeted each other
526,Dover Street Tube exit,FAC,4,momentarily blocked the Dover Street Tube exit in doing so
528,the,PER,1,", ” continued the young man ."
528,young man,PER,2,” continued the young man .
530,gangway,FAC,1,-- blocking the gangway as it were
531,The,PER,1,"it . ” The girl assenting ,"
531,girl,PER,1,". ” The girl assenting , they"
536,shocking liar,PER,2,"always were a shocking liar , ” said"
536,doctor,PER,1,Greenbank that the doctor had ordered you
539,old Mother Greenbank,PER,3,"sort really , old Mother Greenbank !"
543,old,PER,1,"“ No , old thing , not"
544,garden,FAC,1,"plain , or garden living nowadays is"
545,Lyons,GPE,1,"we are at Lyons ’ , and"
545,each of us,PER,3,and we will each of us pay for our
548,the,FAC,1,could n’t have the flat after all
548,flat,FAC,1,n’t have the flat after all .
551,two Johnnies in the,PER,4,“ I passed two Johnnies in the street to-day talking
551,street,FAC,1,Johnnies in the street to-day talking about
551,some one called Jane Finn,PER,5,to-day talking about some one called Jane Finn .
556,gentleman and a sportsman,PER,4,face of a gentleman and a sportsman .
558,essentially modern-looking couple,PER,3,They were an essentially modern-looking couple as they sat
565,"Miss Prudence Cowley , fifth daughter of Archdeacon Cowley of Little Missendell , Suffolk",PER,14,"Abridged biography of Miss Prudence Cowley , fifth daughter of Archdeacon Cowley of Little Missendell , Suffolk ."
566,officers ’ hospital,FAC,3,she entered an officers ’ hospital .
570,Sisters,PER,1,waiting on the Sisters !
572,Grand,FAC,1,Grand row ! Wardmaid
573,mighty fallen,PER,2,How are the mighty fallen !
574,friend of my childhood,PER,4,I found a friend of my childhood in Lieutenant Thomas
574,Lieutenant Thomas Beresford,PER,3,"my childhood in Lieutenant Thomas Beresford ( bow ,"
576,one of the patients,PER,4,"in company with one of the patients , namely :"
576,the aforementioned Lieutenant Thomas Beresford,PER,5,", namely : the aforementioned Lieutenant Thomas Beresford ."
577,Parlourmaid,PER,1,twelfth months : Parlourmaid duties resumed with
579,talented Miss Cowley,PER,3,"that , the talented Miss Cowley drove successively a"
579,trade delivery van,VEH,3,"drove successively a trade delivery van , a motor-lorry"
579,motor-lorry,VEH,1,"van , a motor-lorry and a general"
579,general,VEH,1,motor-lorry and a general !
580,quite a young general,PER,4,. He was quite a young general !
582,the,FAC,1,", and from the _ Savoy _"
582,_ Savoy _,FAC,3,and from the _ Savoy _ to the War
585,Government office,FAC,2,next entered a Government office . We had
586,land girl,PER,2,"to become a land girl , a postwoman"
586,postwoman,PER,1,"girl , a postwoman , and a"
586,bus conductress,PER,2,", and a bus conductress by way of"
586,Armistice,ORG,1,-- but the Armistice intervened !
587,the office,FAC,2,I clung to the office with the true
597,READER,PER,1,TO ACQUAINT THE READER WITH IN THE
599,author,PER,1,An author ought to consider
599,gentleman who gives a private or eleemosynary treat,PER,8,"not as a gentleman who gives a private or eleemosynary treat , but rather"
599,one,PER,1,but rather as one who keeps a
600,entertainer,PER,1,known that the entertainer provides what fare
601,master of an ordinary,PER,4,happens to the master of an ordinary .
602,Men,PER,1,Men who pay for
603,the,FAC,1,first entrance into the house ; and
603,house,FAC,1,entrance into the house ; and having
604,any man who is capable of lending us,PER,8,"or wisdom from any man who is capable of lending us either , we"
604,reader,PER,1,likewise give the reader particular bills to
607,alderman of Bristol,PER,3,"-- as the alderman of Bristol , well learned"
607,learned reader,PER,2,"nor can the learned reader be ignorant ,"
607,cook,PER,1,", that a cook will have sooner"
607,the,LOC,1,"vegetable food in the world , than"
607,world,LOC,1,"food in the world , than an"
607,author,PER,1,", than an author will be able"
609,epicure,PER,1,"rejected by the epicure , if it"
609,most paltry alleys,FAC,3,found in the most paltry alleys under the same
610,the,FAC,1,be found in the shops .
610,shops,FAC,1,found in the shops .
612,duke,PER,1,"table of a duke , may perhaps"
612,vilest stall in,FAC,3,", in the vilest stall in town ."
613,nobleman,PER,1,food of the nobleman and the porter
613,porter,PER,1,"nobleman and the porter , if both"
613,both,PER,1,"porter , if both are at dinner"
616,reader,PER,1,", will the reader be to find"
616,best cook,PER,2,principles of the best cook which the present
618,the,GPE,1,"is found in the country , and"
618,country,GPE,1,"found in the country , and shall"
618,courts and,ORG,2,and vice which courts and cities afford .
619,great person just above-mentioned,PER,4,", as the great person just above-mentioned is supposed to"
620,those,PER,1,will now detain those who like our
621,"Miss Bridget Allworthy , his sister",PER,6,"fuller account of Miss Bridget Allworthy , his sister ."
622,gentleman whose name was Allworthy,PER,5,"still , a gentleman whose name was Allworthy , and who"
623,some,PER,1,may seem to some to have come
623,others,PER,1,"profuse , that others perhaps may think"
624,agreeable person,PER,2,"he derived an agreeable person , a sound"
624,one of the largest estates in the county,FAC,8,the inheritance of one of the largest estates in the county .
625,very worthy and beautiful woman,PER,5,"youth married a very worthy and beautiful woman , of whom"
625,all of,PER,2,"three children , all of whom died in"
627,man of sense and constancy,PER,5,"bore like a man of sense and constancy , though it"
629,malicious,PER,1,"opinion of the malicious , the title"
630,that species of women,PER,4,She was of that species of women whom you commend
630,good a sort of woman,PER,5,"women -- as good a sort of woman , madam ,"
631,God,PER,1,would often thank God she was not
632,woman,PER,1,person in a woman to be no
632,others,PER,1,well as for others ; and yet
633,reader,PER,1,"unaccountable to the reader , that this"
633,this guard of prudence,PER,4,"reader , that this guard of prudence , like the"
634,men,PER,1,for whom the men are all wishing
634,that higher order of,PER,4,the heels of that higher order of women for whom
634,women,PER,1,higher order of women for whom the
638,family,PER,1,", and no family ."
639,many,PER,1,be concluded by many that he lived
639,honest man,PER,2,"lived like an honest man , owed no"
639,good house,FAC,2,", kept a good house , entertained his"
639,the poor,PER,2,"was charitable to the poor , i.e. to"
639,those who had rather beg than work,PER,7,", i.e. to those who had rather beg than work , by giving"
639,hospital,FAC,1,and built an hospital .
640,"Mary , the heroine of this fiction",PER,7,"CHAP . I. Mary , the heroine of this fiction , was the"
640,"Eliza , a gentle , fashionable girl",PER,7,", who married Eliza , a gentle , fashionable girl , with a"
643,officer,PER,1,"danced with an officer , whom she"
643,vicious fool,PER,2,", ( a vicious fool , ) as"
644,delightful country,GPE,2,", in a delightful country , where Nature"
644,master,PER,1,"; for the master , with brute"
645,some of his pretty tenants,PER,5,would then visit some of his pretty tenants ; and when
645,_,PER,1,say which a _ gourmand _ would
645,gourmand _,PER,2,which a _ gourmand _ would give the
648,the,LOC,1,are there in the female world !
648,female world,LOC,2,there in the female world ! yet she
648,planet,LOC,1,sort of a planet would have been
657,the,LOC,1,a knight-errant into the world .
657,world,LOC,1,knight-errant into the world .
658,sleeping lover,PER,2,settling on the sleeping lover 's face .
659,lover,PER,1,was not a lover to weep in
660,fair peruser,PER,2,", that the fair peruser should beg the"
660,hair-dresser,PER,1,should beg the hair-dresser to settle the
663,person,PER,1,which makes a person take pleasure in
663,living creature,PER,2,comfort of a living creature ; but it
664,the,LOC,1,"; she feared the world , and"
664,world,LOC,1,"she feared the world , and was"
668,"son , a feeble babe",PER,5,"brought forth a son , a feeble babe ; and the"
668,daughter,PER,1,following year a daughter .
669,mother,PER,1,After the mother 's throes she
669,children,PER,1,tenderness : the children were given to
671,Her children all,PER,3,Her children all died in their
671,the,PER,1,"infancy , except the two first ,"
671,two first,PER,2,", except the two first , and she"
671,son,PER,1,"fond of the son , as he"
674,the nursery,FAC,2,were left in the nursery ; and when
674,"Mary , the little blushing girl",PER,6,"; and when Mary , the little blushing girl , appeared ,"
675,house,FAC,1,", in a house without any play-mates"
675,any play-mates,PER,2,a house without any play-mates ; for her
675,garden,FAC,1,"ramble about the garden , admire the"
676,old house-keeper,PER,2,An old house-keeper told her stories
677,governess,PER,1,enquiring for a governess when her health
677,her own maid,PER,3,the interim desired her own maid to teach her
683,fine tall girl,PER,3,to have a fine tall girl brought forward into
683,gay,LOC,1,away in the gay world .
688,sea,LOC,1,listen to the sea that was not
689,her constant friends and confidants,PER,5,"nature , were her constant friends and confidants ."
690,Great,FAC,1,"to consider the Great First Cause ,"
691,new world,LOC,2,sought out a new world .
